game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
c0egJi55,22,O-O,King,O-O,2,Good,r2qk2r/p2b1ppp/2pb1n2/3pp3/2P1P3/3B4/PP1NQPPP/R1B2RK1 b kq - 2 11,44,46
c0egJi55,24,cxd5,Pawn,cxd5,3,Good,r2q1rk1/p2b1ppp/2pb1n2/3Pp3/4P3/3B4/PP1NQPPP/R1B2RK1 b - - 0 12,48,51
c0egJi55,26,Re8,Rook,Re8,-8,Good,r2q1rk1/p2b1ppp/3b1n2/3Pp3/8/3B4/PP1NQPPP/R1B2RK1 b - - 0 13,44,36
c0egJi55,28,Nxe4,Knight,Nxe4,6,Good,r2qr1k1/p2b1ppp/3b1n2/3Pp3/4N3/3B4/PP2QPPP/R1B2RK1 b - - 2 14,-80,-74
c0egJi55,30,f5,Pawn,f5,-5,Good,r2qr1k1/p2b1ppp/3b4/3Pp3/4B3/8/PP2QPPP/R1B2RK1 b - - 0 15,-60,-65
c0egJi55,32,e4,Pawn,Rc8,13,Good,r2qr1k1/p2b2pp/3b4/3Ppp2/8/8/PPB1QPPP/R1B2RK1 b - - 1 16,-59,-46
c0egJi55,34,f4,Pawn,Qc7,98,Mistake,r2qr1k1/p2b2pp/3b4/3P1p2/4p3/8/PPBBQPPP/R4RK1 b - - 1 17,-96,2
c0egJi55,36,Qb6+,Queen,Qb6+,-17,Good,r2qr1k1/p2b2pp/3b4/3P4/4pp2/5P2/PPBBQ1PP/R4RK1 b - - 0 18,-376,-393
c0egJi55,38,Bb5,Bishop,Bb5,1,Good,r3r1k1/p2b2pp/1q1b4/3P4/4pp2/5P2/PPBBQ1PP/R4R1K b - - 2 19,-409,-408
c0egJi55,40,e3,Pawn,Bxf1,44,Inaccuracy,r3r1k1/p5pp/1q1b4/1b1P4/4pp2/5P2/PPBB2PP/R2Q1R1K b - - 4 20,-417,-373
e4ipnUGV,2,c5,Pawn,e5,6,Good,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,38,44
e4ipnUGV,4,d6,Pawn,Nc6,17,Good,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,32,49
e4ipnUGV,6,cxd4,Pawn,cxd4,-13,Good,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,47,34
e4ipnUGV,8,Nf6,Knight,Nf6,-5,Good,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,39,34
e4ipnUGV,10,a6,Pawn,a6,-1,Good,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,35,34
e4ipnUGV,12,e6,Pawn,e6,13,Good,rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6,22,35
e4ipnUGV,14,h6,Pawn,Be7,2,Good,rnbqkb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 7,40,42
